chroma_stft,chroma_cqt,chroma_cens,rmse,spectral_centroid,spectral_bandwidth,spectral_contrast,spectral_flatness,spectral_rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,label
0.908857,0.7616213,0.28464967,0.01088281,4481.24478423079,6159.798127699659,15.247003475140454,0.0020612986,11518.714728492712,0.0008487206441077142,-578.974,-11.309887,-12.25738,1
0.12712666,0.15665816,0.12373036,0.039347913,2161.0834165772885,1379.7989463915615,21.827744214323538,1.2360424e-05,2145.617603550296,0.08708452755177515,-592.6319,101.363655,1.971847,1
0.61087614,0.4576893,0.24097511,0.024571067,1619.9584069318755,3429.5204162099253,16.03998859195812,0.00047009156,2837.0711994077,0.01347087472235933,-469.9523,111.89292,39.148907,1
0.9056891,0.7300328,0.28089607,0.010905365,4382.464119606724,6134.556590550424,15.15516517296211,0.0018315201,11286.893441166016,0.0009189338562033417,-578.7911,-6.3779106,-10.787966,1
0.37679484,0.5185756,0.24894172,0.004768819,2799.217479575404,2723.204365554429,18.75746378804528,0.00086957053,5642.751479289941,0.08731374044625247,-509.03772,164.31265,-78.17419,1
0.3268236,0.46079957,0.2526779,0.01734228,2495.912580818742,2285.9591519129644,20.593245164825696,0.00033007815,4485.493274925962,0.08141378871544916,-403.21616,158.08434,-49.980904,1
0.9027191,0.75633085,0.28542292,0.010975139,5749.668974382854,6430.284446802683,15.169081337096372,0.004205042,13463.623133665125,0.0019301256165570565,-553.6142,-37.85879,-20.430931,1
0.70597273,0.63978595,0.26808673,0.0015018465,8937.90361428033,5921.190734259094,12.370455378133034,0.23751299,15817.937922147174,0.2443017074742268,-539.6407,-12.849918,-24.88084,1
0.4023244,0.5993578,0.27271685,0.010954762,3299.20291528824,2135.656453431616,18.594816167423772,0.00036410725,5532.225208044383,0.12209536992891817,-406.46902,153.49583,-152.96461,1
0.44913036,0.64962095,0.28123605,0.029275382,2625.2287702052868,3554.5238481644924,15.366126162189394,0.0056209983,5052.647367436835,0.05110058885939578,-281.86774,160.17223,-21.248644,1
0.70088726,0.6813817,0.2747059,0.0015802986,9090.525509172357,5885.273158153649,12.41384399708978,0.25932276,15955.37182278706,0.2736166348204764,-534.4426,-18.479376,-29.169676,1
0.46794412,0.47458765,0.25303793,0.00516914,2540.821309994364,4122.084551821097,15.672158694456673,0.0034502612,5040.742360088365,0.036814536542709865,-578.7453,127.22271,31.233171,1
0.9031487,0.7457431,0.28236717,0.01091388,4422.378469950038,6126.891266787713,15.26181589164804,0.002089913,11322.241323764663,0.0010056371922769285,-576.23236,-7.412046,-13.610451,1
0.6900689,0.63318014,0.27240545,0.001806191,8995.859255093286,5560.851428581,12.823646389954186,0.23527107,15371.87138953075,0.2971653129721383,-543.45874,-48.954712,-54.16954,1
0.9021612,0.7341517,0.2818481,0.01094283,5587.982413235181,6430.293257705017,14.884291769493096,0.0039180415,13286.629599182368,0.0017962952419569853,-535.6471,-8.389301,-1.1980604,1
0.4341361,0.6500963,0.27866533,0.0036867934,4007.4922304161437,2862.718892514075,17.50210642775477,0.0023451115,7073.497655478776,0.14568230194965448,-489.88266,111.90342,-100.36477,1
0.90116227,0.73892206,0.28343046,0.010986839,5765.777036766895,6414.536336269892,15.14018326285055,0.004527173,13423.571920547458,0.0019861920380821185,-550.6493,-36.74155,-20.719698,1
0.91728294,0.7388841,0.2824332,0.013525838,3628.0696700579538,5972.468447437463,15.155095736355637,0.0010155995,9912.067021418414,0.00035323581363313187,-607.7875,-3.7938664,14.901077,1
0.42830047,0.50917464,0.26773712,0.011815321,2378.9739843084676,2241.0819564079634,18.754679005313623,0.00035445177,4033.2397581441264,0.08005065014190524,-424.7487,180.0772,-75.24621,1
0.90621006,0.7376616,0.28086802,0.010986644,5458.547550809478,6465.914874707025,14.77473542139214,0.0032066507,13256.055867845716,0.0015586638764219693,-547.62317,-10.43791,0.43618995,1
0.89893365,0.7375207,0.28286317,0.010968185,5831.373124713376,6429.4359166822105,15.091137640789649,0.004579378,13517.409404994667,0.002114207474226804,-554.8703,-41.266647,-20.297386,1
0.41528887,0.54371405,0.26494145,0.023635589,2707.935610758468,2335.0026646799133,18.271329351787568,0.0005592807,4715.055836623889,0.08168612722112537,-377.3684,148.78902,-109.29544,1
0.9184538,0.7215813,0.2813271,0.013535883,3597.6406415205447,5959.864624740769,15.207615088557812,0.0008165273,9793.729725826519,0.0003290213684233914,-611.7056,-5.6741185,14.767449,1
0.6970179,0.66096145,0.27325365,0.0017761667,8892.32001989852,5778.110040904663,12.30890620382136,0.2522546,15539.487424457875,0.270666812011198,-522.205,-15.328257,-30.76124,1
0.34029946,0.40570274,0.23512243,0.03655715,2995.436391758534,2528.7601431997123,23.323084349490237,0.00026505222,5405.325443786982,0.09059976732001973,-318.0865,130.91783,-80.50904,1
0.9008714,0.72538346,0.28074235,0.010946407,5638.766587003494,6425.76106002275,14.849942551012068,0.0039566457,13349.53924857803,0.001964928457163171,-537.0167,-12.132441,-2.7979138,1
0.69610816,0.60831255,0.26857358,0.0017324162,8877.439038612913,5590.731663150621,12.72930827192989,0.22847499,15273.001466405973,0.27956418858869536,-540.95905,-40.740536,-49.363235,1
0.9188308,0.72191507,0.28090605,0.013544574,3569.860740904971,5947.420065173762,15.207687858440387,0.00086197176,9674.130154639175,0.00033405519574297905,-613.09503,-5.126885,15.641782,1
0.69892853,0.585323,0.25780067,0.031794187,1172.9471847123693,2659.5950254243685,14.712506202590824,0.00021068272,2300.929247990815,0.0015018432477037888,-408.58102,125.58036,9.668224,2
0.4127656,0.4822719,0.22937313,0.065404095,1544.1868794901575,2304.5110005634074,16.1965788577151,0.0019337944,2593.190106648581,0.03538297290259776,-331.8822,190.30739,-12.291942,2
0.745388,0.61931115,0.26805285,0.05600515,2867.950606578478,3756.0052847850498,15.180532532387677,0.0033384652,7733.481930221481,0.03088370184865444,-270.30078,80.21726,7.4448647,2
0.53760743,0.42032257,0.24428773,0.03495424,2295.950074582422,2485.196236619127,17.91408575561036,0.013491254,4530.424799081516,0.05694278756458094,-260.97177,137.18248,-38.594,2
0.6526408,0.6164774,0.27283987,0.030468024,634.5260493092841,1988.3881515144271,14.755596060288989,4.924115e-05,703.059532122905,0.00014730272346368716,-475.81137,161.19649,25.559902,2
0.64863914,0.6733205,0.2795182,0.03133136,1224.6288285768478,2657.2932699013327,14.983818284539284,0.00044686598,2119.040300546448,0.00653656506147541,-406.42752,134.99048,22.667057,2
0.70906085,0.6773263,0.27878806,0.03235524,1560.347680520318,2953.6183466752364,14.726303789001513,0.0006188017,3502.530674846626,0.002452190375766871,-346.83743,134.39398,15.70158,2
0.9056775,0.55577075,0.2614877,0.029536305,697.6313861411785,2327.6857367037346,15.197860761868533,3.0676707e-05,329.3530701754386,0.0,-534.39844,103.37659,8.186203,2
0.66852516,0.6585657,0.27587494,0.040351033,1285.7180139081815,2708.188329923032,14.67893831559363,0.00047732412,2606.884298618491,0.010466653659670564,-356.2653,137.88669,19.470036,2
0.7073504,0.6574629,0.2782408,0.03267029,1541.847776907108,2893.3073032032466,14.706492357331873,0.00065462355,3359.3539420485176,0.0030784092823450135,-339.71573,137.73631,12.70724,2
0.66788316,0.6836867,0.2798522,0.035912253,1052.991700973946,2488.410497216601,14.5528219768872,0.00023662658,1704.455145474138,0.005701525457974138,-386.60718,143.17477,19.86433,2
0.5087518,0.45555738,0.24932829,0.020039117,2116.4315236542207,2591.6423605318028,17.505090619221836,0.0053586783,4289.568865740741,0.04761985496238426,-306.40002,138.90637,-30.658415,2
0.60409427,0.3891441,0.23101392,0.03653174,2262.4977967606255,2689.219926805453,18.109995046689935,0.0018679324,4395.11782508161,0.036294775939653606,-276.24057,167.95128,-43.678905,2
0.82262737,0.6117773,0.26867604,0.041431244,2055.8073296433136,3346.9782555182514,16.8030518744031,0.0012377801,5347.186130643025,0.013325604825868746,-374.5897,77.778435,15.959771,2
0.5863481,0.47518185,0.2499776,0.016512262,1892.1690151159899,3830.7656044788023,13.673151991850554,0.0012438158,3120.6829720087817,0.01946995131837724,-420.1682,160.441,14.4752035,2
0.45476893,0.3010041,0.20651004,0.042933576,2137.1779930743965,2281.5584427507997,19.8660531936085,0.0031396395,4304.156870428422,0.05197057454937304,-221.63026,146.91904,-52.78113,2
0.63637984,0.6552432,0.27466583,0.04138189,1426.0030533553997,2857.3037487967495,14.698508894608882,0.0006450899,3091.6208071278825,0.012991147471174004,-337.21555,134.2008,18.878832,2
0.61457497,0.64959306,0.27800018,0.031353712,666.9709283056512,2026.2959532131454,14.92549608567458,5.4765856e-05,702.9909948542024,0.00038526479416809605,-461.3346,160.56912,29.691689,2
0.66645813,0.6228835,0.2691205,0.044851035,1226.843699226044,2711.3438222765726,14.750269319673585,0.0003342225,2375.134909733124,0.010056524112048666,-365.7121,124.72648,15.059005,2
0.6926471,0.63868904,0.27590576,0.032676175,1075.1754411895688,2568.219925098546,14.584662229150727,0.00020004132,1733.6786551993746,0.0021371371677091477,-407.4365,137.68648,23.117002,2
0.71735054,0.71524084,0.28066194,0.032550573,1635.395248973966,3028.4247402574993,14.71602899883006,0.00073392683,3879.2369631901843,0.005036785851226994,-349.8441,127.79258,15.528068,2
0.58993363,0.6593202,0.2766486,0.032979634,680.8401756361673,1978.6611009081169,14.840210352894331,7.6592754e-05,788.7825732899023,0.0017961963897937024,-440.03137,164.55365,24.77767,2
0.71114707,0.6885599,0.27950317,0.032565974,1536.4186812832427,2876.44607205854,16.482142450600136,0.00037464307,3490.7012836700337,0.0027395948416456227,-348.66452,138.00777,9.986324,2
0.6350393,0.6570284,0.27534875,0.040252805,993.3825186722094,2300.5332091435002,14.521845597683123,0.00032511752,1593.8150364203955,0.01070916119276795,-368.4163,151.50665,14.147961,2
0.7155389,0.50487083,0.24951628,0.030425265,1162.7169204727531,2660.703148309967,14.93762083097815,0.00017507041,2257.3636363636365,0.00011079545454545455,-421.40823,124.477844,8.394252,2
0.8456506,0.54662406,0.26008463,0.029628934,1013.2826600911511,2540.2027827770726,14.99872879702026,9.2985174e-05,1847.8265161086545,0.0,-460.27496,116.56213,2.1987708,2
0.59214777,0.550166,0.26947987,0.042956732,1882.3986989838702,2232.1186859221216,17.200710302421406,0.00053416914,4057.7253383921247,0.039241149251435604,-296.2908,213.70941,-62.410286,2
0.6538185,0.6384654,0.27619407,0.030571772,631.9257804354279,1991.6090549178684,14.75952932200688,5.193914e-05,676.4632936507936,0.00016431051587301589,-474.68195,162.34344,29.582888,2
0.6446735,0.65464693,0.27653176,0.03580033,950.0948013944234,2215.2677012304457,17.130182126704312,0.00012046916,1641.7566230861862,0.005310951074101153,-397.92993,147.47862,21.177765,2
0.6878479,0.58747965,0.2654094,0.03596476,1248.423518056038,2682.799726850107,14.625845066014124,0.0004531756,2371.282237936772,0.011331212302412646,-392.50504,123.73604,12.416718,2
0.6053399,0.6641848,0.2775478,0.036391437,776.6880383034822,1985.180706719878,14.737032055724368,0.00012532616,1157.6704545454545,0.005303981500270563,-396.9741,167.05536,10.489833,2
0.5996586,0.6543182,0.27923962,0.034929074,1134.1253193319794,2594.189492175414,14.799139546849338,0.0002849537,2007.661937901499,0.005498653305674518,-386.0784,140.10736,22.381374,2
0.8918097,0.5708911,0.26476893,0.029530637,793.1990082459492,2408.4080296832985,15.112343655372989,4.4412962e-05,776.4001349527665,0.0,-508.97418,108.97047,7.5731106,2
0.66014856,0.66281354,0.27442235,0.042238344,1255.8690441041902,2678.819695387299,14.658656663208564,0.00045202713,2391.595289079229,0.010976917993843684,-348.23788,140.80887,17.986912,2
0.6183337,0.65673393,0.2801189,0.05693013,2293.8613498441637,2238.9124796508245,18.173782119069347,0.0016506622,4242.5630006675565,0.06414346733144193,-233.32028,193.23209,-80.69553,2
0.507495,0.36694062,0.23112507,0.04467643,2307.672940526596,2320.235805279478,19.940418269073206,0.0039230855,4459.067841880342,0.05392534304887821,-208.30415,139.66116,-61.91932,2
0.87109786,0.5567824,0.25494045,0.029628333,895.1714241900163,2480.2921293264963,15.117140136268702,6.402649e-05,1245.7439005558988,0.0,-482.92255,115.78632,7.530598,2
0.76794994,0.4983264,0.25331053,0.029816436,1039.1367532965685,2525.8455930378295,14.978124823222764,0.000115449555,1900.2397165091718,2.1713451917732072e-06,-442.64166,124.73142,3.9851186,2
0.7927356,0.5542045,0.25909823,0.032037724,910.261971453012,2270.7895879103553,17.68112193189169,5.4850672e-05,1528.38389038492,0.001771324734179471,-450.79803,118.070854,8.104792,2
